TIME,CH1
-3.025e-06,0.0197656
-3.024e-06,0.0224219
-3.023e-06,0.0179687
-3.022e-06,0.0211719
-3.021e-06,0.0241406
-3.020e-06,0.0215625
-3.019e-06,0.0171094
-3.018e-06,0.0232812
-3.017e-06,0.0225
-3.016e-06,0.0185156
-3.015e-06,0.0192188
-3.014e-06,0.0205469
-3.013e-06,0.018125
-3.012e-06,0.021875
-3.011e-06,0.0208594
-3.010e-06,0.0226562
-3.009e-06,0.0199219
-3.008e-06,0.020625
-3.007e-06,0.0170312
-3.006e-06,0.021875
-3.005e-06,0.0185937
-3.004e-06,0.0185156
-3.003e-06,0.02
-3.002e-06,0.019375
-3.001e-06,0.0191406
-3.000e-06,0.019375
-2.999e-06,0.019375
-2.998e-06,0.0183594
-2.997e-06,0.0175
-2.996e-06,0.0173437
-2.995e-06,0.01875
-2.994e-06,0.0188281
-2.993e-06,0.0196875
-2.992e-06,0.0177344
-2.991e-06,0.0182812
-2.990e-06,0.0180469
-2.989e-06,0.0191406
-2.988e-06,0.0210937
-2.987e-06,0.0175
-2.986e-06,0.0205469
-2.985e-06,0.0196094
-2.984e-06,0.0157031
-2.983e-06,0.0153906
-2.982e-06,0.0182812
-2.981e-06,0.0161719
-2.980e-06,0.0210156
-2.979e-06,0.01625
-2.978e-06,0.0175
-2.977e-06,0.0160937
-2.976e-06,0.0172656
-2.975e-06,0.0220313
-2.974e-06,0.0210937
-2.973e-06,0.0180469
-2.972e-06,0.0127344
-2.971e-06,0.0189844
-2.970e-06,0.0196094
-2.969e-06,0.0184375
-2.968e-06,0.0192188
-2.967e-06,0.0242188
-2.966e-06,0.0197656
-2.965e-06,0.0177344
-2.964e-06,0.0175781
-2.963e-06,0.0203906
-2.962e-06,0.0226562
-2.961e-06,0.0194531
-2.960e-06,0.0157812
-2.959e-06,0.0202344
-2.958e-06,0.0192188
-2.957e-06,0.02
-2.956e-06,0.0164063
-2.955e-06,0.0195312
-2.954e-06,0.0200781
-2.953e-06,0.0146094
-2.952e-06,0.0209375
-2.951e-06,0.0210156
-2.950e-06,0.0164063
-2.949e-06,0.0204687
-2.948e-06,0.0153906
-2.947e-06,0.0207031
-2.946e-06,0.0173437
-2.945e-06,0.0180469
-2.944e-06,0.0204687
-2.943e-06,0.0189844
-2.942e-06,0.0186719
-2.941e-06,0.0175781
-2.940e-06,0.0244531
-2.939e-06,0.020625
-2.938e-06,0.0244531
-2.937e-06,0.020625
-2.936e-06,0.0189844
-2.935e-06,0.018125
-2.934e-06,0.0213281
-2.933e-06,0.0215625
-2.932e-06,0.0178906
-2.931e-06,0.0182812
-2.930e-06,0.0170312
-2.929e-06,0.02125
-2.928e-06,0.0214063
-2.927e-06,0.0214844
-2.926e-06,0.0210937
-2.925e-06,0.0180469
-2.924e-06,0.0217188
-2.923e-06,0.019375
-2.922e-06,0.0158594
-2.921e-06,0.018125
-2.920e-06,0.0208594
-2.919e-06,0.0216406
-2.918e-06,0.0211719
-2.917e-06,0.0209375
-2.916e-06,0.0185937
-2.915e-06,0.0183594
-2.914e-06,0.0239844
-2.913e-06,0.0189063
-2.912e-06,0.0228906
-2.911e-06,0.0207812
-2.910e-06,0.0175781
-2.909e-06,0.0153906
-2.908e-06,0.0173437
-2.907e-06,0.019375
-2.906e-06,0.0205469
-2.905e-06,0.0219531
-2.904e-06,0.0203906
-2.903e-06,0.0175781
-2.902e-06,0.025
-2.901e-06,0.0225781
-2.900e-06,0.0197656
-2.899e-06,0.0195312
-2.898e-06,0.01875
-2.897e-06,0.0223437
-2.896e-06,0.0199219
-2.895e-06,0.0180469
-2.894e-06,0.0170312
-2.893e-06,0.0230469
-2.892e-06,0.0178906
-2.891e-06,0.0221094
-2.890e-06,0.0186719
-2.889e-06,0.0192969
-2.888e-06,0.0184375
-2.887e-06,0.0195312
-2.886e-06,0.0166406
-2.885e-06,0.02
-2.884e-06,0.0207031
-2.883e-06,0.01875
-2.882e-06,0.0161719
-2.881e-06,0.0194531
-2.880e-06,0.01875
-2.879e-06,0.0178906
-2.878e-06,0.0188281
-2.877e-06,0.0167969
-2.876e-06,0.0232812
-2.875e-06,0.019375
-2.874e-06,0.0157812
-2.873e-06,0.020625
-2.872e-06,0.0164844
-2.871e-06,0.0210937
-2.870e-06,0.0204687
-2.869e-06,0.018125
-2.868e-06,0.0207031
-2.867e-06,0.0225781
-2.866e-06,0.0208594
-2.865e-06,0.0198437
-2.864e-06,0.0208594
-2.863e-06,0.0178125
-2.862e-06,0.0216406
-2.861e-06,0.0176562
-2.860e-06,0.0186719
-2.859e-06,0.0189063
-2.858e-06,0.0182031
-2.857e-06,0.0209375
-2.856e-06,0.0190625
-2.855e-06,0.0182812
-2.854e-06,0.0201562
-2.853e-06,0.0175
-2.852e-06,0.0197656
-2.851e-06,0.0175781
-2.850e-06,0.0185937
-2.849e-06,0.0188281
-2.848e-06,0.0226562
-2.847e-06,0.0217188
-2.846e-06,0.0199219
-2.845e-06,0.0192969
-2.844e-06,0.0177344
-2.843e-06,0.0178906
-2.842e-06,0.0221875
-2.841e-06,0.0201562
-2.840e-06,0.0171094
-2.839e-06,0.0224219
-2.838e-06,0.0160156
-2.837e-06,0.0185156
-2.836e-06,0.0175781
-2.835e-06,0.015625
-2.834e-06,0.0207812
-2.833e-06,0.0199219
-2.832e-06,0.0182031
-2.831e-06,0.0192969
-2.830e-06,0.0190625
-2.829e-06,0.0196094
-2.828e-06,0.0199219
-2.827e-06,0.0222656
-2.826e-06,0.015
-2.825e-06,0.0201562
-2.824e-06,0.0213281
-2.823e-06,0.0197656
-2.822e-06,0.0165625
-2.821e-06,0.0123437
-2.820e-06,0.0196875
-2.819e-06,0.0175781
-2.818e-06,0.02
