time	V(vout)
0.000000000000000e+00	1.259257e-01
3.906249781103488e-13	1.259257e-01
7.812499562206976e-13	1.259257e-01
1.562499912441395e-12	1.259257e-01
3.124999824882790e-12	1.259257e-01
6.249999649765581e-12	1.259257e-01
1.249999929953116e-11	1.259257e-01
2.499999859906232e-11	1.259257e-01
4.999999719812465e-11	1.259257e-01
9.999999439624929e-11	1.259257e-01
1.959561375718084e-10	1.259257e-01
3.878684239229266e-10	1.259257e-01
4.358464955107062e-10	1.259257e-01
5.318026386862653e-10	1.259257e-01
7.237149250373835e-10	1.259257e-01
7.716929966251630e-10	1.259257e-01
8.676491398007222e-10	1.259257e-01
1.059561426151840e-09	1.259257e-01
1.107539497739620e-09	1.259258e-01
1.203495640915179e-09	1.259258e-01
1.395407927266297e-09	1.259258e-01
1.443385998854077e-09	1.259258e-01
1.539342142029636e-09	1.259258e-01
1.731254428380754e-09	1.259259e-01
1.779232499968534e-09	1.259259e-01
1.875188643144093e-09	1.259259e-01
2.067100929495211e-09	1.259259e-01
2.115079001082991e-09	1.259260e-01
2.211035144258550e-09	1.259260e-01
2.402947430609668e-09	1.259260e-01
2.450925502197448e-09	1.259261e-01
2.546881645373007e-09	1.259261e-01
2.738793931724125e-09	1.259262e-01
2.786772003311905e-09	1.259262e-01
2.882728146487464e-09	1.259263e-01
3.074640432838582e-09	1.259264e-01
3.122618504426362e-09	1.259264e-01
3.218574647601921e-09	1.259264e-01
3.410486933953040e-09	1.259266e-01
3.458465005540819e-09	1.259266e-01
3.554421148716378e-09	1.259267e-01
3.746333435067497e-09	1.259268e-01
3.794311506655277e-09	1.259269e-01
3.890267649830836e-09	1.259269e-01
4.082179936181955e-09	1.259271e-01
4.130158007769734e-09	1.259271e-01
4.226114150945294e-09	1.259272e-01
4.418026437296412e-09	1.259274e-01
4.466004508884192e-09	1.259274e-01
4.561960652059751e-09	1.259275e-01
4.753872938410870e-09	1.259277e-01
4.801851009998649e-09	1.259278e-01
4.897807153174209e-09	1.259279e-01
5.089719439525327e-09	1.259281e-01
5.137697511113107e-09	1.259281e-01
5.233653654288666e-09	1.259282e-01
5.425565940639785e-09	1.259285e-01
5.473544012227564e-09	1.259285e-01
5.569500155403124e-09	1.259286e-01
5.761412441754242e-09	1.259289e-01
5.809390513342022e-09	1.259290e-01
5.905346656517581e-09	1.259291e-01
6.097258942868700e-09	1.259293e-01
6.145237014456479e-09	1.259294e-01
6.241193157632039e-09	1.259295e-01
6.433105443983157e-09	1.259298e-01
6.481083515570937e-09	1.259299e-01
6.577039658746496e-09	1.259300e-01
6.768951945097615e-09	1.259303e-01
6.816930016685394e-09	1.259304e-01
6.912886159860954e-09	1.259306e-01
7.104798446212072e-09	1.259309e-01
7.152776517799852e-09	1.259310e-01
7.248732660975411e-09	1.259311e-01
7.440644947326530e-09	1.259315e-01
7.488623018914309e-09	1.259315e-01
7.584579162089869e-09	1.259317e-01
7.776491448440988e-09	1.259321e-01
7.824469520028768e-09	1.259321e-01
7.920425663204327e-09	1.259323e-01
8.112337949555446e-09	1.259327e-01
8.160316021143226e-09	1.259328e-01
8.256272164318785e-09	1.259329e-01
8.448184450669904e-09	1.259333e-01
8.496162522257684e-09	1.259334e-01
8.592118665433244e-09	1.259336e-01
8.784030951784363e-09	1.259340e-01
8.832009023372143e-09	1.259341e-01
8.927965166547702e-09	1.259343e-01
9.119877452898821e-09	1.259347e-01
9.167855524486601e-09	1.259348e-01
9.263811667662160e-09	1.259350e-01
9.455723954013279e-09	1.259354e-01
9.503702025601059e-09	1.259355e-01
9.599658168776619e-09	1.259357e-01
9.791570455127738e-09	1.259362e-01
9.839548526715518e-09	1.259363e-01
9.935504669891077e-09	1.259365e-01
1.012741695624220e-08	1.259369e-01
1.017539502782998e-08	1.259371e-01
1.027135117100554e-08	1.259373e-01
1.046326345735665e-08	1.259377e-01
1.051124152894443e-08	1.259379e-01
1.060719767211999e-08	1.259381e-01
1.079910995847111e-08	1.259386e-01
1.084708803005889e-08	1.259387e-01
1.094304417323445e-08	1.259389e-01
1.113495645958557e-08	1.259394e-01
1.118293453117335e-08	1.259395e-01
1.127889067434891e-08	1.259398e-01
1.147080296070003e-08	1.259403e-01
1.151878103228781e-08	1.259404e-01
1.161473717546337e-08	1.259407e-01
1.180664946181449e-08	1.259412e-01
1.185462753340227e-08	1.259413e-01
1.195058367657783e-08	1.259415e-01
1.214249596292895e-08	1.259421e-01
1.219047403451673e-08	1.259422e-01
1.228643017769229e-08	1.259425e-01
1.247834246404340e-08	1.259430e-01
1.252632053563118e-08	1.259431e-01
1.262227667880674e-08	1.259434e-01
1.281418896515786e-08	1.259440e-01
1.286216703674564e-08	1.259441e-01
1.295812317992120e-08	1.259444e-01
1.315003546627232e-08	1.259449e-01
1.319801353786010e-08	1.259451e-01
1.329396968103566e-08	1.259454e-01
1.348588196738678e-08	1.259459e-01
1.353386003897456e-08	1.259461e-01
1.362981618215012e-08	1.259464e-01
1.382172846850124e-08	1.259469e-01
1.386970654008902e-08	1.259471e-01
1.396566268326458e-08	1.259474e-01
1.415757496961570e-08	1.259480e-01
1.420555304120348e-08	1.259481e-01
1.430150918437904e-08	1.259484e-01
1.449342147073015e-08	1.259490e-01
1.454139954231793e-08	1.259492e-01
1.463735568549349e-08	1.259495e-01
1.482926797184461e-08	1.259501e-01
1.487724604343239e-08	1.259503e-01
1.497320218660795e-08	1.259506e-01
1.516511447295907e-08	1.259512e-01
1.521309254454685e-08	1.259514e-01
1.530904868772241e-08	1.259517e-01
1.550096097407353e-08	1.259523e-01
1.554893904566131e-08	1.259525e-01
1.564489518883687e-08	1.259528e-01
1.583680747518798e-08	1.259535e-01
1.588478554677576e-08	1.259536e-01
1.598074168995132e-08	1.259539e-01
1.617265397630244e-08	1.259546e-01
1.622063204789022e-08	1.259548e-01
1.631658819106578e-08	1.259551e-01
1.650850047741690e-08	1.259558e-01
1.655647854900468e-08	1.259559e-01
1.665243469218024e-08	1.259563e-01
1.684434697853135e-08	1.259570e-01
1.689232505011913e-08	1.259571e-01
1.698828119329469e-08	1.259575e-01
1.718019347964581e-08	1.259582e-01
1.722817155123359e-08	1.259584e-01
1.732412769440915e-08	1.259587e-01
1.751603998076027e-08	1.259594e-01
1.756401805234805e-08	1.259596e-01
1.765997419552361e-08	1.259599e-01
1.785188648187472e-08	1.259606e-01
1.789986455346250e-08	1.259608e-01
1.799582069663806e-08	1.259612e-01
1.818773298298918e-08	1.259619e-01
1.823571105457696e-08	1.259621e-01
1.833166719775252e-08	1.259625e-01
1.852357948410364e-08	1.259632e-01
1.857155755569142e-08	1.259634e-01
1.866751369886698e-08	1.259637e-01
1.885942598521809e-08	1.259645e-01
1.890740405680587e-08	1.259647e-01
1.900336019998143e-08	1.259651e-01
1.919527248633255e-08	1.259658e-01
1.924325055792033e-08	1.259660e-01
1.933920670109589e-08	1.259664e-01
1.953111898744701e-08	1.259672e-01
1.957909705903479e-08	1.259674e-01
1.967505320221035e-08	1.259677e-01
1.986696548856146e-08	1.259685e-01
1.991494356014924e-08	1.259687e-01
2.001089970332480e-08	1.259691e-01
2.020281198967592e-08	1.259699e-01
2.025079006126370e-08	1.259701e-01
2.034674620443926e-08	1.259705e-01
2.053865849079038e-08	1.259713e-01
2.058663656237816e-08	1.259715e-01
2.068259270555372e-08	1.259719e-01
2.087450499190483e-08	1.259727e-01
2.092248306349261e-08	1.259729e-01
2.101843920666817e-08	1.259733e-01
2.121035149301929e-08	1.259741e-01
2.125832956460707e-08	1.259743e-01
2.135428570778263e-08	1.259747e-01
2.154619799413375e-08	1.259755e-01
2.159417606572153e-08	1.259758e-01
2.169013220889709e-08	1.259762e-01
2.188204449524820e-08	1.259770e-01
2.193002256683598e-08	1.259772e-01
2.202597871001154e-08	1.259777e-01
2.221789099636266e-08	1.259785e-01
2.226586906795044e-08	1.259787e-01
2.236182521112600e-08	1.259791e-01
2.255373749747712e-08	1.259800e-01
2.260171556906490e-08	1.259802e-01
2.269767171224046e-08	1.259806e-01
2.288958399859157e-08	1.259815e-01
2.293756207017935e-08	1.259817e-01
2.303351821335491e-08	1.259822e-01
2.322543049970603e-08	1.259830e-01
2.327340857129381e-08	1.259833e-01
2.336936471446937e-08	1.259837e-01
2.356127700082049e-08	1.259846e-01
2.360925507240827e-08	1.259848e-01
2.370521121558383e-08	1.259852e-01
2.389712350193494e-08	1.259861e-01
2.394510157352272e-08	1.259864e-01
2.404105771669828e-08	1.259868e-01
2.423297000304940e-08	1.259877e-01
2.428094807463718e-08	1.259879e-01
2.437690421781274e-08	1.259884e-01
2.456881650416386e-08	1.259893e-01
2.461679457575164e-08	1.259895e-01
2.471275071892720e-08	1.259900e-01
2.490466300527831e-08	1.259909e-01
2.495264107686609e-08	1.259912e-01
2.504859722004165e-08	1.259916e-01
2.524050950639277e-08	1.259926e-01
2.528848757798055e-08	1.259928e-01
2.538444372115611e-08	1.259933e-01
2.557635600750723e-08	1.259942e-01
2.562433407909501e-08	1.259944e-01
2.572029022227057e-08	1.259949e-01
2.591220250862168e-08	1.259959e-01
2.596018058020946e-08	1.259961e-01
2.605613672338502e-08	1.259966e-01
2.624804900973614e-08	1.259976e-01
2.629602708132392e-08	1.259978e-01
2.639198322449948e-08	1.259983e-01
2.658389551085060e-08	1.259993e-01
2.663187358243838e-08	1.259995e-01
2.672782972561394e-08	1.260000e-01
2.691974201196505e-08	1.260010e-01
2.696772008355283e-08	1.260012e-01
2.706367622672839e-08	1.260017e-01
2.725558851307951e-08	1.260027e-01
2.730356658466729e-08	1.260029e-01
2.739952272784285e-08	1.260034e-01
2.759143501419397e-08	1.260044e-01
2.763941308578175e-08	1.260047e-01
2.773536922895731e-08	1.260052e-01
2.792728151530842e-08	1.260062e-01
2.797525958689620e-08	1.260065e-01
2.807121573007176e-08	1.260070e-01
2.826312801642288e-08	1.260080e-01
2.831110608801066e-08	1.260082e-01
2.840706223118622e-08	1.260087e-01
2.859897451753734e-08	1.260098e-01
2.864695258912512e-08	1.260100e-01
2.874290873230068e-08	1.260106e-01
2.893482101865179e-08	1.260116e-01
2.898279909023957e-08	1.260119e-01
2.907875523341513e-08	1.260124e-01
2.927066751976625e-08	1.260134e-01
2.931864559135403e-08	1.260137e-01
2.941460173452959e-08	1.260142e-01
2.960651402088071e-08	1.260153e-01
2.965449209246849e-08	1.260155e-01
2.975044823564405e-08	1.260161e-01
2.994236052199516e-08	1.260171e-01
2.999033859358294e-08	1.260174e-01
3.008629473675850e-08	1.260179e-01
3.027820702310962e-08	1.260190e-01
3.032618509469740e-08	1.260193e-01
3.042214123787295e-08	1.260198e-01
3.061405352422407e-08	1.260209e-01
3.066203159581185e-08	1.260212e-01
3.075798773898741e-08	1.260217e-01
3.094990002533852e-08	1.260228e-01
3.099787809692630e-08	1.260231e-01
3.109383424010186e-08	1.260236e-01
3.128574652645298e-08	1.260247e-01
3.133372459804076e-08	1.260250e-01
3.142968074121631e-08	1.260256e-01
3.162159302756743e-08	1.260267e-01
3.166957109915521e-08	1.260270e-01
3.176552724233077e-08	1.260275e-01
3.195743952868188e-08	1.260286e-01
3.200541760026966e-08	1.260289e-01
3.210137374344522e-08	1.260295e-01
3.229328602979634e-08	1.260306e-01
3.234126410138412e-08	1.260309e-01
3.243722024455967e-08	1.260315e-01
3.262913253091079e-08	1.260326e-01
3.267711060249857e-08	1.260329e-01
3.277306674567413e-08	1.260335e-01
3.296497903202524e-08	1.260346e-01
3.301295710361302e-08	1.260349e-01
3.310891324678858e-08	1.260355e-01
3.330082553313970e-08	1.260366e-01
3.334880360472748e-08	1.260369e-01
3.344475974790303e-08	1.260375e-01
3.363667203425415e-08	1.260387e-01
3.368465010584193e-08	1.260390e-01
3.378060624901749e-08	1.260395e-01
3.397251853536860e-08	1.260407e-01
3.402049660695638e-08	1.260410e-01
3.411645275013194e-08	1.260416e-01
3.430836503648306e-08	1.260428e-01
3.435634310807084e-08	1.260431e-01
3.445229925124639e-08	1.260437e-01
3.464421153759751e-08	1.260449e-01
3.469218960918529e-08	1.260452e-01
3.478814575236085e-08	1.260458e-01
3.498005803871196e-08	1.260470e-01
3.502803611029974e-08	1.260473e-01
3.512399225347530e-08	1.260479e-01
3.531590453982642e-08	1.260491e-01
3.536388261141420e-08	1.260494e-01
3.545983875458975e-08	1.260500e-01
3.565175104094087e-08	1.260512e-01
3.569972911252865e-08	1.260515e-01
3.579568525570421e-08	1.260521e-01
3.598759754205532e-08	1.260534e-01
3.603557561364310e-08	1.260537e-01
3.613153175681866e-08	1.260543e-01
3.632344404316978e-08	1.260555e-01
3.637142211475756e-08	1.260558e-01
3.646737825793311e-08	1.260564e-01
3.665929054428423e-08	1.260577e-01
3.670726861587201e-08	1.260580e-01
3.680322475904757e-08	1.260586e-01
3.699513704539869e-08	1.260599e-01
3.704311511698646e-08	1.260602e-01
3.713907126016202e-08	1.260608e-01
3.733098354651314e-08	1.260621e-01
3.737896161810092e-08	1.260624e-01
3.747491776127647e-08	1.260630e-01
3.766683004762759e-08	1.260643e-01
3.771480811921537e-08	1.260646e-01
3.781076426239093e-08	1.260653e-01
3.800267654874205e-08	1.260666e-01
3.805065462032982e-08	1.260669e-01
3.814661076350538e-08	1.260675e-01
3.833852304985650e-08	1.260688e-01
3.838650112144428e-08	1.260691e-01
3.848245726461983e-08	1.260698e-01
3.867436955097095e-08	1.260711e-01
3.872234762255873e-08	1.260714e-01
3.881830376573429e-08	1.260721e-01
3.901021605208541e-08	1.260734e-01
3.905819412367318e-08	1.260737e-01
3.915415026684874e-08	1.260743e-01
3.934606255319986e-08	1.260757e-01
3.939404062478764e-08	1.260760e-01
3.948999676796319e-08	1.260767e-01
3.968190905431431e-08	1.260780e-01
3.972988712590209e-08	1.260783e-01
3.982584326907765e-08	1.260790e-01
4.001775555542877e-08	1.260803e-01
4.006573362701654e-08	1.260806e-01
4.016168977019210e-08	1.260813e-01
4.035360205654322e-08	1.260827e-01
4.040158012813100e-08	1.260830e-01
4.049753627130655e-08	1.260837e-01
4.068944855765767e-08	1.260850e-01
4.073742662924545e-08	1.260854e-01
4.083338277242101e-08	1.260860e-01
4.102529505877213e-08	1.260874e-01
4.107327313035990e-08	1.260877e-01
