Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,5.4e-06,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.02
Vertical Position,-1.98,-2.32
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.6000e-06,0.0222656,0.00705
-4.5980e-06,0.0202344,0.00665
-4.5960e-06,0.0222656,0.00760937
-4.5940e-06,0.0282031,0.00649062
-4.5920e-06,0.0222656,0.00465
-4.5900e-06,0.0222656,0.00480937
-4.5880e-06,0.0202344,0.00712812
-4.5860e-06,0.0222656,0.00945
-4.5840e-06,0.0242187,0.00656875
-4.5820e-06,0.0222656,0.00297187
-4.5800e-06,0.0202344,0.00712812
-4.5780e-06,0.0222656,0.00576875
-4.5760e-06,0.0222656,0.00825
-4.5740e-06,0.0202344,0.00849062
-4.5720e-06,0.02625,0.00792812
-4.5700e-06,0.0222656,0.00625
-4.5680e-06,0.0242187,0.00569062
-4.5660e-06,0.01625,0.00633125
-4.5640e-06,0.0242187,0.0092875
-4.5620e-06,0.0222656,0.00849062
-4.5600e-06,0.01625,0.00536875
-4.5580e-06,0.0242187,0.00505
-4.5560e-06,0.0202344,0.00576875
-4.5540e-06,0.0142187,0.00792812
-4.5520e-06,0.0182031,0.00649062
-4.5500e-06,0.0202344,0.00705
-4.5480e-06,0.0182031,0.00672812
-4.5460e-06,0.0182031,0.00705
-4.5440e-06,0.0222656,0.00649062
-4.5420e-06,0.02625,0.00769062
-4.5400e-06,0.0202344,0.00745
-4.5380e-06,0.0222656,0.00656875
-4.5360e-06,0.0202344,0.00649062
-4.5340e-06,0.0222656,0.00776875
-4.5320e-06,0.02625,0.00616875
-4.5300e-06,0.0182031,0.00865
-4.5280e-06,0.0242187,0.00616875
-4.5260e-06,0.0182031,0.00696875
-4.5240e-06,0.02625,0.00585
-4.5220e-06,0.0242187,0.00585
-4.5200e-06,0.02625,0.00696875
-4.5180e-06,0.0182031,0.00745
-4.5160e-06,0.0222656,0.0092875
-4.5140e-06,0.0142187,0.00665
-4.5120e-06,0.0182031,0.00672812
-4.5100e-06,0.02625,0.00752812
-4.5080e-06,0.0222656,0.00585
-4.5060e-06,0.0282031,0.00920937
-4.5040e-06,0.0282031,0.00800937
-4.5020e-06,0.0242187,0.00345
-4.5000e-06,0.0202344,0.00345
-4.4980e-06,0.0202344,0.00736875
-4.4960e-06,0.0282031,0.00896875
-4.4940e-06,0.0202344,0.00696875
-4.4920e-06,0.0242187,0.00649062
-4.4900e-06,0.0222656,0.00545
-4.4880e-06,0.0202344,0.00649062
-4.4860e-06,0.0222656,0.00656875
-4.4840e-06,0.0242187,0.00889062
-4.4820e-06,0.0202344,0.00832812
-4.4800e-06,0.0222656,0.00400937
-4.4780e-06,0.0142187,0.00569062
-4.4760e-06,0.0222656,0.00545
-4.4740e-06,0.0202344,0.00633125
-4.4720e-06,0.0222656,0.00776875
-4.4700e-06,0.0182031,0.00736875
-4.4680e-06,0.0222656,0.00696875
