time	V(signal)	V(vout)
0.000000000000000e+00	-1.074840e-04	1.694567e-01
1.953124890551744e-13	-1.081820e-04	1.694567e-01
3.906249781103488e-13	-1.081939e-04	1.694567e-01
7.812499562206976e-13	-1.075176e-04	1.694567e-01
1.562499912441395e-12	-1.086901e-04	1.694567e-01
3.124999824882790e-12	-1.068438e-04	1.694567e-01
6.249999649765581e-12	-1.077715e-04	1.694567e-01
1.249999929953116e-11	-1.071917e-04	1.694567e-01
2.499999859906232e-11	-1.074684e-04	1.694567e-01
4.999999719812465e-11	-1.074566e-04	1.694567e-01
9.999999439624929e-11	-1.074902e-04	1.694567e-01
1.994712612416346e-10	-1.074822e-04	1.694567e-01
3.984137949324052e-10	-1.074929e-04	1.694567e-01
7.962988623139464e-10	-1.074819e-04	1.694567e-01
1.592068997077029e-09	-1.074830e-04	1.694567e-01
3.183609266603193e-09	-1.074837e-04	1.694567e-01
6.366689805655523e-09	-1.074843e-04	1.694567e-01
1.273285088376018e-08	-1.074845e-04	1.694566e-01
2.546517303996950e-08	-1.074838e-04	1.694555e-01
4.499642303996950e-08	-1.074840e-04	1.694545e-01
6.452767303996950e-08	-1.074839e-04	1.694546e-01
8.405892303996950e-08	-1.074839e-04	1.694549e-01
1.035901730399695e-07	-1.074840e-04	1.694555e-01
1.231214230399695e-07	-1.074839e-04	1.694562e-01
1.426526730399695e-07	-1.074840e-04	1.694570e-01
1.621839230399695e-07	-1.074839e-04	1.694579e-01
1.817151730399695e-07	-1.074840e-04	1.694590e-01
2.012464230399695e-07	-1.074839e-04	1.694601e-01
2.207776730399695e-07	-1.074840e-04	1.694612e-01
2.403089230399695e-07	-1.074839e-04	1.694625e-01
2.598401730399695e-07	-1.074840e-04	1.694637e-01
2.793714230399695e-07	-1.074839e-04	1.694651e-01
2.989026730399695e-07	-1.074840e-04	1.694664e-01
3.184339230399695e-07	-1.074839e-04	1.694678e-01
3.379651730399695e-07	-1.074840e-04	1.694691e-01
3.574964230399695e-07	-1.074839e-04	1.694705e-01
3.770276730399695e-07	-1.074840e-04	1.694719e-01
3.965589230399695e-07	-1.074839e-04	1.694733e-01
4.160901730399695e-07	-1.074840e-04	1.694747e-01
4.356214230399695e-07	-1.074839e-04	1.694761e-01
4.551526730399695e-07	-1.074840e-04	1.694775e-01
4.746839230399695e-07	-1.074839e-04	1.694789e-01
4.942151730399695e-07	-1.074840e-04	1.694802e-01
5.137464230399696e-07	-1.074839e-04	1.694816e-01
5.332776730399696e-07	-1.074840e-04	1.694829e-01
5.528089230399697e-07	-1.074839e-04	1.694842e-01
5.723401730399697e-07	-1.074840e-04	1.694855e-01
5.918714230399698e-07	-1.074839e-04	1.694867e-01
6.114026730399698e-07	-1.074840e-04	1.694880e-01
6.309339230399699e-07	-1.074839e-04	1.694892e-01
6.504651730399699e-07	-1.074840e-04	1.694904e-01
6.699964230399700e-07	-1.074839e-04	1.694915e-01
6.895276730399700e-07	-1.074840e-04	1.694926e-01
7.090589230399701e-07	-1.074839e-04	1.694937e-01
7.285901730399701e-07	-1.074840e-04	1.694948e-01
7.481214230399702e-07	-1.074839e-04	1.694959e-01
7.676526730399702e-07	-1.074840e-04	1.694969e-01
7.871839230399703e-07	-1.074839e-04	1.694979e-01
8.067151730399703e-07	-1.074840e-04	1.694988e-01
8.262464230399704e-07	-1.074839e-04	1.694998e-01
8.457776730399704e-07	-1.074840e-04	1.695007e-01
8.653089230399705e-07	-1.074839e-04	1.695016e-01
8.848401730399706e-07	-1.074840e-04	1.695024e-01
9.043714230399706e-07	-1.074840e-04	1.695033e-01
9.239026730399707e-07	-1.074840e-04	1.695041e-01
9.434339230399707e-07	-1.074840e-04	1.695049e-01
9.629651730399708e-07	-1.074840e-04	1.695056e-01
9.824964230399708e-07	-1.074840e-04	1.695064e-01
9.999999999999159e-07	-1.074839e-04	1.695069e-01
1.010000000000000e-06	3.091524e-02	1.699156e-01
1.023510649079527e-06	3.091524e-02	1.724622e-01
1.032042601163615e-06	3.091524e-02	1.754110e-01
1.041465135274304e-06	3.091524e-02	1.795794e-01
1.051437255160660e-06	3.091524e-02	1.849635e-01
1.065218878489585e-06	3.091524e-02	1.939758e-01
1.079845213639878e-06	3.091524e-02	2.053574e-01
1.099376463639878e-06	3.091524e-02	2.231575e-01
1.118907713639878e-06	3.091524e-02	2.435824e-01
1.138438963639878e-06	3.091524e-02	2.662725e-01
1.157970213639878e-06	3.091524e-02	2.909022e-01
1.177501463639878e-06	3.091524e-02	3.171811e-01
1.197032713639878e-06	3.091524e-02	3.448467e-01
1.216563963639878e-06	3.091524e-02	3.736646e-01
1.236095213639878e-06	3.091524e-02	4.034236e-01
1.255626463639878e-06	3.091524e-02	4.339347e-01
1.275157713639878e-06	3.091524e-02	4.650280e-01
1.294688963639878e-06	3.091524e-02	4.965519e-01
1.314220213639879e-06	3.091524e-02	5.283702e-01
1.333751463639879e-06	3.091524e-02	5.603616e-01
1.353282713639879e-06	3.091524e-02	5.924174e-01
1.372813963639879e-06	3.091524e-02	6.244414e-01
1.392345213639879e-06	3.091524e-02	6.563475e-01
1.411876463639879e-06	3.091524e-02	6.880597e-01
1.431407713639879e-06	3.091524e-02	7.195109e-01
1.450938963639879e-06	3.091524e-02	7.506416e-01
1.470470213639879e-06	3.091524e-02	7.813998e-01
1.490001463639879e-06	3.091524e-02	8.117403e-01
1.509532713639879e-06	3.091524e-02	8.416236e-01
1.529063963639879e-06	3.091524e-02	8.710157e-01
1.548595213639879e-06	3.091524e-02	8.998874e-01
1.568126463639879e-06	3.091524e-02	9.282143e-01
1.587657713639879e-06	3.091524e-02	9.559756e-01
1.607188963639879e-06	3.091524e-02	9.831545e-01
1.626720213639879e-06	3.091524e-02	1.009737e+00
1.646251463639879e-06	3.091524e-02	1.035714e+00
1.665782713639879e-06	3.091524e-02	1.061075e+00
1.685313963639880e-06	3.091524e-02	1.085817e+00
1.704845213639880e-06	3.091524e-02	1.109935e+00
1.724376463639880e-06	3.091524e-02	1.133429e+00
1.743907713639880e-06	3.091524e-02	1.156299e+00
1.763438963639880e-06	3.091524e-02	1.178547e+00
1.782970213639880e-06	3.091524e-02	1.200177e+00
1.802501463639880e-06	3.091524e-02	1.221193e+00
1.822032713639880e-06	3.091524e-02	1.241601e+00
1.841563963639880e-06	3.091524e-02	1.261408e+00
1.861095213639880e-06	3.091524e-02	1.280622e+00
1.880626463639880e-06	3.091524e-02	1.299252e+00
1.900157713639880e-06	3.091524e-02	1.317307e+00
1.919688963639880e-06	3.091524e-02	1.334795e+00
1.939220213639880e-06	3.091524e-02	1.351729e+00
1.958751463639880e-06	3.091524e-02	1.368118e+00
1.978282713639880e-06	3.091524e-02	1.383973e+00
1.997813963639880e-06	3.091524e-02	1.399307e+00
2.017345213639880e-06	3.091524e-02	1.414129e+00
2.036876463639880e-06	3.091524e-02	1.428453e+00
2.056407713639880e-06	3.091524e-02	1.442290e+00
2.075938963639880e-06	3.091524e-02	1.455652e+00
2.095470213639880e-06	3.091524e-02	1.468550e+00
2.115001463639880e-06	3.091524e-02	1.480998e+00
2.134532713639880e-06	3.091524e-02	1.493006e+00
2.154063963639881e-06	3.091524e-02	1.504587e+00
2.173595213639881e-06	3.091524e-02	1.515753e+00
2.193126463639881e-06	3.091524e-02	1.526516e+00
2.212657713639881e-06	3.091524e-02	1.536886e+00
2.232188963639881e-06	3.091524e-02	1.546877e+00
2.251720213639881e-06	3.091524e-02	1.556498e+00
2.271251463639881e-06	3.091524e-02	1.565762e+00
2.290782713639881e-06	3.091524e-02	1.574678e+00
2.310313963639881e-06	3.091524e-02	1.583259e+00
2.329845213639881e-06	3.091524e-02	1.591515e+00
2.349376463639881e-06	3.091524e-02	1.599456e+00
2.368907713639881e-06	3.091524e-02	1.607092e+00
2.388438963639881e-06	3.091524e-02	1.614433e+00
2.407970213639881e-06	3.091524e-02	1.621490e+00
2.427501463639881e-06	3.091524e-02	1.628271e+00
2.447032713639881e-06	3.091524e-02	1.634787e+00
2.466563963639881e-06	3.091524e-02	1.641045e+00
2.486095213639881e-06	3.091524e-02	1.647056e+00
2.505626463639881e-06	3.091524e-02	1.652828e+00
2.525157713639882e-06	3.091524e-02	1.658368e+00
2.544688963639882e-06	3.091524e-02	1.663686e+00
2.564220213639882e-06	3.091524e-02	1.668789e+00
2.583751463639882e-06	3.091524e-02	1.673685e+00
2.603282713639882e-06	3.091524e-02	1.678382e+00
2.622813963639882e-06	3.091524e-02	1.682887e+00
2.642345213639882e-06	3.091524e-02	1.687206e+00
2.661876463639882e-06	3.091524e-02	1.691347e+00
2.681407713639882e-06	3.091524e-02	1.695317e+00
2.700938963639882e-06	3.091524e-02	1.699121e+00
2.720470213639882e-06	3.091524e-02	1.702767e+00
2.740001463639882e-06	3.091524e-02	1.706260e+00
2.759532713639882e-06	3.091524e-02	1.709606e+00
2.779063963639882e-06	3.091524e-02	1.712811e+00
2.798595213639882e-06	3.091524e-02	1.715879e+00
2.818126463639882e-06	3.091524e-02	1.718818e+00
2.837657713639882e-06	3.091524e-02	1.721630e+00
2.857188963639882e-06	3.091524e-02	1.724323e+00
2.876720213639882e-06	3.091524e-02	1.726899e+00
2.896251463639882e-06	3.091524e-02	1.729365e+00
2.915782713639883e-06	3.091524e-02	1.731723e+00
2.935313963639883e-06	3.091524e-02	1.733979e+00
2.954845213639883e-06	3.091524e-02	1.736138e+00
2.974376463639883e-06	3.091524e-02	1.738201e+00
2.993907713639883e-06	3.091524e-02	1.740174e+00
3.013438963639883e-06	3.091524e-02	1.742061e+00
3.032970213639883e-06	3.091524e-02	1.743864e+00
3.052501463639883e-06	3.091524e-02	1.745587e+00
3.072032713639883e-06	3.091524e-02	1.747234e+00
3.091563963639883e-06	3.091524e-02	1.748808e+00
3.111095213639883e-06	3.091524e-02	1.750311e+00
3.130626463639883e-06	3.091524e-02	1.751747e+00
3.150157713639883e-06	3.091524e-02	1.753119e+00
3.169688963639883e-06	3.091524e-02	1.754428e+00
3.189220213639883e-06	3.091524e-02	1.755679e+00
3.208751463639883e-06	3.091524e-02	1.756873e+00
3.228282713639883e-06	3.091524e-02	1.758013e+00
3.247813963639883e-06	3.091524e-02	1.759100e+00
3.267345213639883e-06	3.091524e-02	1.760139e+00
3.286876463639884e-06	3.091524e-02	1.761129e+00
3.306407713639884e-06	3.091524e-02	1.762074e+00
3.325938963639884e-06	3.091524e-02	1.762976e+00
3.345470213639884e-06	3.091524e-02	1.763836e+00
3.365001463639884e-06	3.091524e-02	1.764656e+00
3.384532713639884e-06	3.091524e-02	1.765438e+00
3.404063963639884e-06	3.091524e-02	1.766184e+00
3.423595213639884e-06	3.091524e-02	1.766895e+00
3.443126463639884e-06	3.091524e-02	1.767573e+00
3.462657713639884e-06	3.091524e-02	1.768219e+00
3.482188963639884e-06	3.091524e-02	1.768834e+00
3.501720213639884e-06	3.091524e-02	1.769421e+00
3.521251463639884e-06	3.091524e-02	1.769980e+00
3.540782713639884e-06	3.091524e-02	1.770512e+00
3.560313963639884e-06	3.091524e-02	1.771019e+00
3.579845213639884e-06	3.091524e-02	1.771502e+00
3.599376463639884e-06	3.091524e-02	1.771962e+00
3.618907713639884e-06	3.091524e-02	1.772400e+00
3.638438963639884e-06	3.091524e-02	1.772817e+00
3.657970213639884e-06	3.091524e-02	1.773214e+00
3.677501463639885e-06	3.091524e-02	1.773592e+00
3.697032713639885e-06	3.091524e-02	1.773952e+00
3.716563963639885e-06	3.091524e-02	1.774294e+00
3.736095213639885e-06	3.091524e-02	1.774619e+00
3.755626463639885e-06	3.091524e-02	1.774929e+00
3.775157713639885e-06	3.091524e-02	1.775224e+00
3.794688963639885e-06	3.091524e-02	1.775504e+00
3.814220213639885e-06	3.091524e-02	1.775771e+00
3.833751463639885e-06	3.091524e-02	1.776024e+00
3.853282713639885e-06	3.091524e-02	1.776265e+00
3.872813963639885e-06	3.091524e-02	1.776494e+00
3.892345213639885e-06	3.091524e-02	1.776712e+00
3.911876463639885e-06	3.091524e-02	1.776919e+00
3.931407713639885e-06	3.091524e-02	1.777116e+00
3.950938963639885e-06	3.091524e-02	1.777303e+00
3.970470213639885e-06	3.091524e-02	1.777480e+00
3.990001463639885e-06	3.091524e-02	1.777649e+00
4.009532713639885e-06	3.091524e-02	1.777809e+00
4.029063963639885e-06	3.091524e-02	1.777961e+00
4.048595213639885e-06	3.091524e-02	1.778106e+00
4.068126463639885e-06	3.091524e-02	1.778243e+00
4.087657713639885e-06	3.091524e-02	1.778373e+00
4.107188963639885e-06	3.091524e-02	1.778497e+00
4.126720213639885e-06	3.091524e-02	1.778614e+00
4.146251463639885e-06	3.091524e-02	1.778726e+00
4.165782713639885e-06	3.091524e-02	1.778831e+00
4.185313963639885e-06	3.091524e-02	1.778932e+00
4.204845213639885e-06	3.091524e-02	1.779027e+00
4.224376463639886e-06	3.091524e-02	1.779117e+00
4.243907713639886e-06	3.091524e-02	1.779203e+00
4.263438963639886e-06	3.091524e-02	1.779284e+00
4.282970213639886e-06	3.091524e-02	1.779361e+00
4.302501463639886e-06	3.091524e-02	1.779434e+00
4.322032713639886e-06	3.091524e-02	1.779503e+00
4.341563963639886e-06	3.091524e-02	1.779569e+00
4.361095213639886e-06	3.091524e-02	1.779631e+00
4.380626463639886e-06	3.091524e-02	1.779690e+00
4.400157713639886e-06	3.091524e-02	1.779745e+00
4.419688963639886e-06	3.091524e-02	1.779798e+00
4.439220213639886e-06	3.091524e-02	1.779848e+00
4.458751463639886e-06	3.091524e-02	1.779896e+00
4.478282713639886e-06	3.091524e-02	1.779940e+00
4.497813963639886e-06	3.091524e-02	1.779983e+00
4.517345213639886e-06	3.091524e-02	1.780023e+00
4.536876463639886e-06	3.091524e-02	1.780061e+00
4.556407713639886e-06	3.091524e-02	1.780097e+00
4.575938963639886e-06	3.091524e-02	1.780131e+00
4.595470213639887e-06	3.091524e-02	1.780164e+00
4.615001463639887e-06	3.091524e-02	1.780194e+00
4.634532713639887e-06	3.091524e-02	1.780223e+00
4.654063963639887e-06	3.091524e-02	1.780250e+00
4.673595213639887e-06	3.091524e-02	1.780276e+00
4.693126463639887e-06	3.091524e-02	1.780300e+00
4.712657713639887e-06	3.091524e-02	1.780324e+00
4.732188963639887e-06	3.091524e-02	1.780345e+00
4.751720213639887e-06	3.091524e-02	1.780366e+00
4.771251463639887e-06	3.091524e-02	1.780385e+00
4.790782713639887e-06	3.091524e-02	1.780404e+00
4.810313963639887e-06	3.091524e-02	1.780421e+00
4.829845213639887e-06	3.091524e-02	1.780438e+00
4.849376463639887e-06	3.091524e-02	1.780453e+00
4.868907713639887e-06	3.091524e-02	1.780468e+00
4.888438963639887e-06	3.091524e-02	1.780482e+00
4.907970213639887e-06	3.091524e-02	1.780495e+00
