time	V(signal)	V(vout)
0.000000000000000e+00	-1.074840e-04	1.694567e-01
1.953124890551744e-13	-1.074840e-04	1.694567e-01
3.906249781103488e-13	-1.074840e-04	1.694567e-01
7.812499562206976e-13	-1.074840e-04	1.694567e-01
1.562499912441395e-12	-1.074840e-04	1.694567e-01
3.124999824882790e-12	-1.074840e-04	1.694567e-01
6.249999649765581e-12	-1.074840e-04	1.694567e-01
1.249999929953116e-11	-1.074840e-04	1.694567e-01
2.499999859906232e-11	-1.074840e-04	1.694567e-01
4.999999719812465e-11	-1.074840e-04	1.694567e-01
9.999999439624929e-11	-1.074840e-04	1.694567e-01
1.999999887924986e-10	-1.074840e-04	1.694567e-01
3.999999775849972e-10	-1.074840e-04	1.694567e-01
7.999999551699943e-10	-1.074840e-04	1.694567e-01
1.599999910339989e-09	-1.074840e-04	1.694566e-01
3.199999820679977e-09	-1.074840e-04	1.694563e-01
6.399999641359955e-09	-1.074840e-04	1.694556e-01
1.279999928271991e-08	-1.074840e-04	1.694542e-01
2.559999856543982e-08	-1.074840e-04	1.694523e-01
4.513124856543982e-08	-1.074840e-04	1.694500e-01
4.757265481543982e-08	-1.074840e-04	1.694497e-01
5.245546731543982e-08	-1.074840e-04	1.694487e-01
6.222109231543981e-08	-1.074840e-04	1.694467e-01
8.175234231543981e-08	-1.074840e-04	1.694438e-01
1.000000000000000e-07	-1.074840e-04	1.694415e-01
1.000010000000000e-07	-1.071970e-04	1.694415e-01
1.000170000000000e-07	-9.801376e-05	1.694415e-01
1.000175000000000e-07	-9.772678e-05	1.694415e-01
1.000185000000000e-07	-9.715283e-05	1.694415e-01
1.000205000000000e-07	-9.600492e-05	1.694415e-01
1.000210000000000e-07	-9.571794e-05	1.694415e-01
1.000245000000000e-07	-9.374463e-05	1.694415e-01
1.000314999999999e-07	-9.001108e-05	1.694415e-01
1.000454999999998e-07	-8.339624e-05	1.694415e-01
1.000734999999997e-07	-7.357565e-05	1.694415e-01
1.001200000000000e-07	-6.730876e-05	1.694415e-01
1.001499728171934e-07	-6.730945e-05	1.694415e-01
