TIME,CH1
-1.1640e-05,-0.025
-1.1636e-05,-0.0188281
-1.1632e-05,-0.020625
-1.1628e-05,-0.018125
-1.1624e-05,-0.0228125
-1.1620e-05,-0.0214844
-1.1616e-05,-0.0214844
-1.1612e-05,-0.0226563
-1.1608e-05,-0.0233594
-1.1604e-05,-0.0202344
-1.1600e-05,-0.0240625
-1.1596e-05,-0.0240625
-1.1592e-05,-0.021875
-1.1588e-05,-0.0189844
-1.1584e-05,-0.0245313
-1.1580e-05,-0.02125
-1.1576e-05,-0.0245313
-1.1572e-05,-0.0179688
-1.1568e-05,-0.0239844
-1.1564e-05,-0.016875
-1.1560e-05,-0.0204688
-1.1556e-05,-0.0191406
-1.1552e-05,-0.0196875
-1.1548e-05,-0.0223437
-1.1544e-05,-0.0238281
-1.1540e-05,-0.0222656
-1.1536e-05,-0.0197656
-1.1532e-05,-0.0219531
-1.1528e-05,-0.021875
-1.1524e-05,-0.0259375
-1.1520e-05,-0.0215625
-1.1516e-05,-0.0200781
-1.1512e-05,-0.0239063
-1.1508e-05,-0.0217969
-1.1504e-05,-0.0221094
-1.1500e-05,-0.0251562
-1.1496e-05,-0.0221094
-1.1492e-05,-0.0242969
-1.1488e-05,-0.02375
-1.1484e-05,-0.0214844
-1.1480e-05,-0.0183594
-1.1476e-05,-0.02
-1.1472e-05,-0.023125
-1.1468e-05,-0.0217969
-1.1464e-05,-0.0219531
-1.1460e-05,-0.0215625
-1.1456e-05,-0.0244531
-1.1452e-05,-0.0191406
-1.1448e-05,-0.02375
-1.1444e-05,-0.0197656
-1.1440e-05,-0.0222656
-1.1436e-05,-0.0210938
-1.1432e-05,-0.023125
-1.1428e-05,-0.0229688
-1.1424e-05,-0.0242969
-1.1420e-05,-0.02
-1.1416e-05,-0.02125
-1.1412e-05,-0.0229688
-1.1408e-05,-0.019375
-1.1404e-05,-0.02375
-1.1400e-05,-0.0222656
-1.1396e-05,-0.0213281
-1.1392e-05,-0.02625
-1.1388e-05,-0.0186719
-1.1384e-05,-0.0211719
-1.1380e-05,-0.0204688
-1.1376e-05,-0.0229688
-1.1372e-05,-0.0261719
-1.1368e-05,-0.0203906
-1.1364e-05,-0.0207031
-1.1360e-05,-0.0183594
-1.1356e-05,-0.0225
-1.1352e-05,-0.0214844
-1.1348e-05,-0.02
-1.1344e-05,-0.0184375
-1.1340e-05,-0.0190625
-1.1336e-05,-0.0217188
-1.1332e-05,-0.01875
-1.1328e-05,-0.0211719
-1.1324e-05,-0.0201562
-1.1320e-05,-0.0216406
-1.1316e-05,-0.021875
-1.1312e-05,-0.0221875
-1.1308e-05,-0.0203125
-1.1304e-05,-0.0217969
-1.1300e-05,-0.0230469
-1.1296e-05,-0.0257813
-1.1292e-05,-0.0225781
-1.1288e-05,-0.0230469
-1.1284e-05,-0.0234375
-1.1280e-05,-0.0215625
-1.1276e-05,-0.0228906
-1.1272e-05,-0.0189063
-1.1268e-05,-0.0207813
-1.1264e-05,-0.0197656
-1.1260e-05,-0.0257813
-1.1256e-05,-0.0196094
-1.1252e-05,-0.0220313
-1.1248e-05,-0.0240625
-1.1244e-05,-0.0188281
-1.1240e-05,-0.0227344
-1.1236e-05,-0.0204688
-1.1232e-05,-0.023125
-1.1228e-05,-0.0217188
-1.1224e-05,-0.0189063
-1.1220e-05,-0.0196875
-1.1216e-05,-0.0242188
-1.1212e-05,-0.0253906
-1.1208e-05,-0.0219531
-1.1204e-05,-0.0185156
-1.1200e-05,-0.0233594
-1.1196e-05,-0.0201562
-1.1192e-05,-0.0225
-1.1188e-05,-0.0175
-1.1184e-05,-0.0207031
-1.1180e-05,-0.0264844
-1.1176e-05,-0.0195312
-1.1172e-05,-0.0185156
-1.1168e-05,-0.0183594
-1.1164e-05,-0.0210938
-1.1160e-05,-0.0238281
-1.1156e-05,-0.0216406
-1.1152e-05,-0.0227344
-1.1148e-05,-0.0233594
-1.1144e-05,-0.0207813
-1.1140e-05,-0.0233594
-1.1136e-05,-0.0239844
-1.1132e-05,-0.0223437
-1.1128e-05,-0.0215625
-1.1124e-05,-0.0224219
-1.1120e-05,-0.0225
-1.1116e-05,-0.0189063
-1.1112e-05,-0.0210156
-1.1108e-05,-0.0210156
-1.1104e-05,-0.019375
-1.1100e-05,-0.02
-1.1096e-05,-0.0234375
-1.1092e-05,-0.0220313
-1.1088e-05,-0.0227344
-1.1084e-05,-0.0236719
-1.1080e-05,-0.0227344
-1.1076e-05,-0.0210938
-1.1072e-05,-0.0207031
-1.1068e-05,-0.0179688
-1.1064e-05,-0.0155469
-1.1060e-05,-0.0214063
-1.1056e-05,-0.0235156
-1.1052e-05,-0.0192188
-1.1048e-05,-0.0227344
-1.1044e-05,-0.0257031
-1.1040e-05,-0.0225781
-1.1036e-05,-0.0253906
-1.1032e-05,-0.0208594
-1.1028e-05,-0.0209375
-1.1024e-05,-0.0219531
-1.1020e-05,-0.02
-1.1016e-05,-0.0226563
-1.1012e-05,-0.0177344
-1.1008e-05,-0.0242969
-1.1004e-05,-0.0227344
-1.1000e-05,-0.025
-1.0996e-05,-0.0232031
-1.0992e-05,-0.0216406
-1.0988e-05,-0.0195312
-1.0984e-05,-0.0214063
-1.0980e-05,-0.02125
-1.0976e-05,-0.0204688
-1.0972e-05,-0.0225
-1.0968e-05,-0.0178125
-1.0964e-05,-0.0200781
-1.0960e-05,-0.0176563
-1.0956e-05,-0.0227344
-1.0952e-05,-0.0210938
-1.0948e-05,-0.0197656
-1.0944e-05,-0.0198438
-1.0940e-05,-0.0227344
-1.0936e-05,-0.0203125
-1.0932e-05,-0.0210156
-1.0928e-05,-0.0214063
-1.0924e-05,-0.019375
-1.0920e-05,-0.0220313
-1.0916e-05,-0.0236719
-1.0912e-05,-0.0196875
-1.0908e-05,-0.0258594
-1.0904e-05,-0.0214844
-1.0900e-05,-0.019375
-1.0896e-05,-0.0220313
-1.0892e-05,-0.0215625
-1.0888e-05,-0.0233594
-1.0884e-05,-0.0185156
-1.0880e-05,-0.0220313
-1.0876e-05,-0.0236719
-1.0872e-05,-0.0214844
-1.0868e-05,-0.0213281
-1.0864e-05,-0.0207031
-1.0860e-05,-0.0229688
-1.0856e-05,-0.02125
-1.0852e-05,-0.0238281
-1.0848e-05,-0.0215625
-1.0844e-05,-0.0203906
-1.0840e-05,-0.0261719
-1.0836e-05,-0.0211719
-1.0832e-05,-0.0225781
-1.0828e-05,-0.0229688
-1.0824e-05,-0.0219531
-1.0820e-05,-0.0232031
-1.0816e-05,-0.0203125
-1.0812e-05,-0.0225781
-1.0808e-05,-0.0215625
-1.0804e-05,-0.0214063
-1.0800e-05,-0.0211719
-1.0796e-05,-0.0229688
-1.0792e-05,-0.0213281
-1.0788e-05,-0.0167188
-1.0784e-05,-0.0214844
-1.0780e-05,-0.0223437
-1.0776e-05,-0.0179688
-1.0772e-05,-0.0253125
-1.0768e-05,-0.0225
-1.0764e-05,-0.0227344
-1.0760e-05,-0.0189063
-1.0756e-05,-0.0226563
-1.0752e-05,-0.021875
-1.0748e-05,-0.02375
-1.0744e-05,-0.0204688
-1.0740e-05,-0.0210938
-1.0736e-05,-0.0227344
-1.0732e-05,-0.0207813
-1.0728e-05,-0.0164063
-1.0724e-05,-0.0196875
-1.0720e-05,-0.0215625
-1.0716e-05,-0.0184375
-1.0712e-05,-0.0232031
-1.0708e-05,-0.0207813
-1.0704e-05,-0.0228125
-1.0700e-05,-0.0242188
