time	V(vout)
0.000000000000000e+00	1.694567e-01
9.765624452758720e-14	1.694567e-01
1.953124890551744e-13	1.694567e-01
3.906249781103488e-13	1.694567e-01
7.812499562206976e-13	1.694567e-01
1.562499912441395e-12	1.694567e-01
3.124999824882790e-12	1.694567e-01
6.249999649765581e-12	1.694567e-01
1.249999929953116e-11	1.694567e-01
2.499999859906232e-11	1.694567e-01
4.999999719812465e-11	1.694567e-01
9.999999439624929e-11	1.694567e-01
1.999999887924986e-10	1.694567e-01
3.999999775849972e-10	1.694567e-01
7.999999551699943e-10	1.694567e-01
1.599999910339989e-09	1.694569e-01
3.199999820679977e-09	1.694574e-01
6.399999641359955e-09	1.694586e-01
7.199999596529949e-09	1.694588e-01
8.799999506869938e-09	1.694593e-01
1.199999932754992e-08	1.694603e-01
1.839999896890987e-08	1.694618e-01
2.816562396890987e-08	1.694642e-01
3.793124896890987e-08	1.694672e-01
4.769687396890987e-08	1.694712e-01
5.746249896890987e-08	1.694758e-01
6.722812396890987e-08	1.694810e-01
7.699374896890986e-08	1.694868e-01
8.675937396890986e-08	1.694931e-01
9.652499896890986e-08	1.694999e-01
1.062906239689099e-07	1.695072e-01
1.160562489689099e-07	1.695149e-01
1.258218739689099e-07	1.695229e-01
1.355874989689099e-07	1.695314e-01
1.453531239689099e-07	1.695403e-01
1.551187489689099e-07	1.695494e-01
1.648843739689099e-07	1.695588e-01
1.746499989689099e-07	1.695684e-01
1.844156239689099e-07	1.695784e-01
1.941812489689099e-07	1.695885e-01
2.039468739689099e-07	1.695989e-01
2.137124989689099e-07	1.696094e-01
2.234781239689099e-07	1.696201e-01
2.332437489689099e-07	1.696309e-01
2.344644520939099e-07	1.696323e-01
2.369058583439099e-07	1.696348e-01
2.417886708439099e-07	1.696392e-01
2.515542958439099e-07	1.696474e-01
2.613199208439099e-07	1.696559e-01
2.710855458439100e-07	1.696650e-01
2.808511708439100e-07	1.696741e-01
2.906167958439100e-07	1.696833e-01
3.003824208439100e-07	1.696927e-01
3.101480458439101e-07	1.697021e-01
3.199136708439101e-07	1.697116e-01
3.296792958439101e-07	1.697213e-01
3.394449208439101e-07	1.697309e-01
3.492105458439102e-07	1.697407e-01
3.589761708439102e-07	1.697505e-01
3.687417958439102e-07	1.697603e-01
3.785074208439102e-07	1.697701e-01
3.882730458439103e-07	1.697800e-01
3.980386708439103e-07	1.697898e-01
4.078042958439103e-07	1.697997e-01
4.175699208439103e-07	1.698095e-01
4.273355458439104e-07	1.698193e-01
4.371011708439104e-07	1.698291e-01
4.468667958439104e-07	1.698389e-01
4.566324208439104e-07	1.698487e-01
4.663980458439105e-07	1.698584e-01
4.761636708439105e-07	1.698680e-01
4.859292958439105e-07	1.698776e-01
4.956949208439105e-07	1.698872e-01
5.054605458439106e-07	1.698967e-01
5.152261708439106e-07	1.699061e-01
5.249917958439106e-07	1.699155e-01
5.347574208439106e-07	1.699248e-01
5.445230458439107e-07	1.699341e-01
5.542886708439107e-07	1.699433e-01
5.640542958439107e-07	1.699523e-01
5.738199208439107e-07	1.699614e-01
5.835855458439108e-07	1.699703e-01
5.933511708439108e-07	1.699792e-01
6.031167958439108e-07	1.699879e-01
6.128824208439108e-07	1.699966e-01
6.226480458439109e-07	1.700052e-01
6.324136708439109e-07	1.700137e-01
6.421792958439109e-07	1.700221e-01
6.519449208439109e-07	1.700305e-01
6.617105458439110e-07	1.700387e-01
6.714761708439110e-07	1.700469e-01
6.812417958439110e-07	1.700549e-01
6.910074208439111e-07	1.700629e-01
7.007730458439111e-07	1.700707e-01
7.105386708439111e-07	1.700785e-01
7.203042958439111e-07	1.700861e-01
7.300699208439112e-07	1.700937e-01
7.398355458439112e-07	1.701012e-01
7.496011708439112e-07	1.701086e-01
7.593667958439112e-07	1.701159e-01
7.691324208439113e-07	1.701230e-01
7.788980458439113e-07	1.701301e-01
7.886636708439113e-07	1.701371e-01
7.984292958439113e-07	1.701440e-01
8.081949208439114e-07	1.701508e-01
8.179605458439114e-07	1.701575e-01
8.277261708439114e-07	1.701641e-01
8.374917958439114e-07	1.701706e-01
8.472574208439115e-07	1.701771e-01
8.570230458439115e-07	1.701834e-01
8.667886708439115e-07	1.701896e-01
