time	V(vout)	V(vout2)
0.000000000000000e+00	1.259257e-01	1.642916e+00
1.464843654361281e-12	1.259257e-01	1.642916e+00
2.929687308722562e-12	1.259257e-01	1.642916e+00
5.859374617445123e-12	1.259257e-01	1.642916e+00
1.171874923489025e-11	1.259257e-01	1.642916e+00
2.343749846978049e-11	1.259257e-01	1.642916e+00
4.687499693956099e-11	1.259257e-01	1.642916e+00
9.374999387912197e-11	1.259257e-01	1.642916e+00
1.054687431140122e-10	1.259257e-01	1.642916e+00
1.289062415837927e-10	1.259257e-01	1.642916e+00
1.347656162012378e-10	1.259257e-01	1.642916e+00
1.464843654361281e-10	1.259257e-01	1.642916e+00
1.699218639059086e-10	1.259257e-01	1.642916e+00
2.167968608454696e-10	1.259257e-01	1.642915e+00
2.285156100803598e-10	1.259257e-01	1.642915e+00
2.519531085501403e-10	1.259257e-01	1.642914e+00
2.988281054897013e-10	1.259257e-01	1.642912e+00
3.105468547245915e-10	1.259257e-01	1.642912e+00
3.339843531943720e-10	1.259257e-01	1.642911e+00
3.808593501339330e-10	1.259257e-01	1.642908e+00
3.925780993688233e-10	1.259257e-01	1.642907e+00
4.160155978386038e-10	1.259257e-01	1.642906e+00
4.628905947781647e-10	1.259257e-01	1.642902e+00
4.746093440130550e-10	1.259257e-01	1.642901e+00
4.980468424828355e-10	1.259257e-01	1.642899e+00
5.449218394223965e-10	1.259257e-01	1.642895e+00
5.566405886572867e-10	1.259257e-01	1.642894e+00
5.800780871270672e-10	1.259257e-01	1.642892e+00
6.269530840666282e-10	1.259258e-01	1.642887e+00
6.386718333015184e-10	1.259258e-01	1.642885e+00
6.621093317712989e-10	1.259258e-01	1.642882e+00
7.089843287108599e-10	1.259258e-01	1.642877e+00
7.207030779457502e-10	1.259258e-01	1.642875e+00
7.441405764155307e-10	1.259258e-01	1.642872e+00
7.910155733550917e-10	1.259258e-01	1.642866e+00
8.027343225899819e-10	1.259258e-01	1.642864e+00
8.261718210597624e-10	1.259258e-01	1.642860e+00
8.730468179993234e-10	1.259258e-01	1.642853e+00
8.847655672342136e-10	1.259258e-01	1.642851e+00
9.082030657039941e-10	1.259258e-01	1.642848e+00
9.550780626435551e-10	1.259258e-01	1.642840e+00
9.667968118784454e-10	1.259258e-01	1.642838e+00
9.902343103482258e-10	1.259258e-01	1.642834e+00
1.037109307287787e-09	1.259258e-01	1.642826e+00
1.048828056522677e-09	1.259258e-01	1.642824e+00
1.072265554992458e-09	1.259258e-01	1.642820e+00
1.119140551932019e-09	1.259259e-01	1.642811e+00
1.130859301166909e-09	1.259259e-01	1.642809e+00
1.154296799636689e-09	1.259259e-01	1.642805e+00
1.201171796576250e-09	1.259259e-01	1.642796e+00
