time	V(vout2)
Step Information: C=100p R=500  (Step: 1/25)
0.000000000000000e+00	1.651054e+00
1.953124992195698e-14	1.651054e+00
3.906249984391395e-14	1.651054e+00
7.812499968782791e-14	1.651054e+00
1.562499993756558e-13	1.651054e+00
3.124999987513116e-13	1.651054e+00
6.249999975026233e-13	1.651054e+00
1.249999995005247e-12	1.651054e+00
2.499999990010493e-12	1.651054e+00
4.999999980020986e-12	1.651054e+00
5.624999977523609e-12	1.651054e+00
6.874999972528856e-12	1.651054e+00
9.374999962539349e-12	1.651054e+00
1.437499994256033e-11	1.651054e+00
2.437499990260231e-11	1.651054e+00
4.437499982268625e-11	1.651055e+00
8.437499966285414e-11	1.651055e+00
1.643749993431899e-10	1.651057e+00
3.243749987038615e-10	1.651062e+00
6.443749974252046e-10	1.651070e+00
6.520630095763364e-10	1.651070e+00
6.674390338786000e-10	1.651070e+00
6.981910824831273e-10	1.651071e+00
7.596951796921819e-10	1.651072e+00
8.827033741102910e-10	1.651073e+00
1.128719762946509e-09	1.651071e+00
1.566883664722091e-09	1.651063e+00
2.317622323836189e-09	1.651050e+00
3.051958107880194e-09	1.651049e+00
4.345039963830855e-09	1.651056e+00
5.611120144821406e-09	1.651064e+00
7.564245144821406e-09	1.651092e+00
9.517370144821406e-09	1.651104e+00
1.147049514482141e-08	1.651107e+00
1.342362014482140e-08	1.651107e+00
1.537674514482141e-08	1.651099e+00
1.732987014482141e-08	1.651095e+00
1.928299514482141e-08	1.651080e+00
2.123612014482141e-08	1.651070e+00
2.148026076982141e-08	1.651065e+00
2.154129592607141e-08	1.651066e+00
2.166336623857141e-08	1.651068e+00
2.190750686357141e-08	1.651071e+00
2.239578811357141e-08	1.651078e+00
2.298441735941944e-08	1.651084e+00
2.416167585111551e-08	1.651096e+00
2.556853160775269e-08	1.651110e+00
2.748754072256783e-08	1.651093e+00
2.944066572256783e-08	1.651069e+00
3.139379072256783e-08	1.651030e+00
3.334691572256783e-08	1.650998e+00
3.530004072256783e-08	1.650960e+00
3.725316572256783e-08	1.650928e+00
3.920629072256784e-08	1.650891e+00
4.115941572256784e-08	1.650864e+00
4.311254072256784e-08	1.650827e+00
4.506566572256784e-08	1.650807e+00
4.507268545353691e-08	1.650803e+00
4.508672491547504e-08	1.650803e+00
4.511480383935131e-08	1.650803e+00
4.517096168710385e-08	1.650802e+00
4.528016905514807e-08	1.650799e+00
4.542362991667693e-08	1.650794e+00
4.556635109673523e-08	1.650787e+00
4.569481207499458e-08	1.650782e+00
4.571380407726864e-08	1.650780e+00
4.575178808181677e-08	1.650779e+00
4.576128408295380e-08	1.650778e+00
4.578027608522787e-08	1.650777e+00
4.581826008977599e-08	1.650775e+00
4.582775609091303e-08	1.650775e+00
4.584674809318709e-08	1.650774e+00
4.588473209773522e-08	1.650773e+00
